Name,Country,Owner,Use,Purpose,OrbitClass,Perigee,Apogee,Period,Mass,LaunchDate,COSPAR,NORAD,Comments
BeeSat-3 (Berlin Experimental and Educational Satellite 3),Germany,Institut für Luft- und Raumfahrt,Civil,Technology Development,LEO,554,581,96.01,1,4/19/13,2013-015E,39134,Will test high-speed data links (up to 1MB/s).
Beidou 2-12 (Compass M3),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,MEO,21460,21595,773.19,2200,4/28/12,2012-018A,38250,Part of Beidou constellation.
Beidou 2-13 (Compass M4),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,MEO,21452,21603,773.21,2200,4/28/12,2012-018B,38251,Part of Beidou constellation.
Beidou 2-14 (Compass M5),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,MEO,21462,21591,773.1,3800,9/18/12,2012-050A,38774,
Beidou 2-15 (Compass M6),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,MEO,21477,21574,773.1,3800,9/18/12,2012-050B,38775,
Beidou 2-16 (Compass G-6),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35775,35799,1436.11,3800,10/25/12,2012-059A,38953,"Part of Beidou constellation, now operational."
Beidou 2-17 (IGSO-6),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35676,35890,1435.92,4200,3/30/16,2016-021A,41434,
Beidou 2-18 (Compass G-7),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35776,35794,1436.1,3800,6/12/16,2016-037A,41586,
Beidou 3I-1S,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35796,36781,1461.81,4200,3/30/15,2015-019A,40549,Third stage of Beidou constellation.
Beidou 3I-2S,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35606,35953,1435.73,4200,9/29/15,2015-053A,40938,
Beidou 3M-1S,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,MEO,21520,21549,773.2,800,7/25/15,2015-037A,40748,
Beidou 3M-2S,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,MEO,21521,21550,773.3,800,7/25/15,2015-037B,40749,
Beidou 3M-3S,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,MEO,21524,21532,773.2,800,2/1/16,2016-006A,41315,
Beidou G1 (Compass G-1),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35768,35803,1436.05,2200,1/16/10,2010-001A,36287,Part of Beidou constellation.
Beidou G3 (Compass G-3),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35774,35797,1436.05,2200,6/2/10,2010-024A,36590,Part of Beidou constellation.
Beidou G4 (Compass G-4),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35764,35809,1436.1,6000,10/31/10,2010-057A,37210,Part of Beidou constellation.
Beidou G5 (Compass G-11),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35776,35799,1436.15,2300,2/24/12,2012-008A,38091,Part of Beidou constellation.
Beidou IGSO-1 (Compass G-5),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35670,35893,1435.82,4200,7/31/10,2010-036A,36828,Part of Beidou constellation.
Beidou IGSO-2 (Compass G-7),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35717,35817,1436.12,4200,12/17/10,2010-068A,37256,Part of Beidou constellation.
Beidou IGSO-3 (Compass G-8),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35693,37872,1435.93,4200,4/9/11,2011-013A,37384,Part of Beidou constellation.
Beidou IGSO-4 (Compass G-9),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35708,35879,1435.1,4200,7/26/11,2011-038A,37763,Part of Beidou constellation.
Beidou IGSO-5 (Compass G-10),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,GEO,35708,35864,1436.08,4200,12/1/11,2011-073A,37948,Part of Beidou constellation.
Beidou M1 (Compass M1),China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,MEO,21519,21545,773.39,2200,4/14/07,2007-011A,31115,Part of Beidou constellation; first one in MEO orbit.
"BeijinGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",China,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Civil,Earth Observation,LEO,681,703,98.6,166,10/27/05,2005-043A,28890,Earth observation for Disaster Monitoring Constellation (DMC); also research.
Belintersat-1,Belarus,Belintersat,Government,Communications,GEO,35779,35792,1436.06,5223,1/15/16,2016-001A,41238,"Belarus' first communications satellite - 10 transponders reserved, 2 for Belarus' government, and 8 for Chinese companies. Will market remaining capacity in Africa, Asia, Europe."
BermudaSat-1 (Echostar 6),USA,"Echostar Technologies, LLC - leased to Bermuda, operated by SES Satellites",Commercial,Communications,GEO,35775,35798,1436.12,3700,7/14/00,2000-038A,26402,"CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders. In 2013 leased by Bermuda and moved to the 96.2 W orbital slot."
BGUSat (Ben Gurion University Satellite),Israel,Ben Gurion University,Civil,Earth Science/Space Science,LEO,496,506,94.6,5,2/15/17,2017-008BD,41999,First satellite to be controlled by Ben Gurion University for scientific experiments.
Bird 2 (Bispectral InfraRed Detector 2),Germany,Institute of Space Sensor Technology and Planetary Exploration,Government/Civil,Earth Observation/Technology Development,LEO,500,521,94.8,92,10/22/01,2001-049C,26959,Forest fire recognition by small satellites.
BIROS (Bispectral Infrared Optical System),Germany,German Aerospace Center (DLR),Government,Earth Observation,LEO,500,517,94.7,130,6/22/16,2016-040F,41604,Forest Fire recognition. Carries BeeSat 4 to be ejected later.
BisonSat (Nwist Qwiqway),USA,Salish Kootenai College,Civil,Earth Observation/Technology Development,LEO,497,801,97.7,1,10/8/15,2015-058E,40968,Mainly a training exercise for students with earth observation and cloud measurement capability.
BKA 2 (BelKA 2),Belarus,National Academy of Sciences,Government,Earth Observation,LEO,503,507,94.7,400,7/22/12,2012-039B,38708,Analog of Canopus-B. Supplies information to various government agencies.
BlackSky Pathfinder 1,USA,BlackSky Global,Commercial,Earth Observation,LEO,661,701,98.3,44,9/26/16,2016-059E,41787,First of two testbeds for a 60-satellite earth-observing constellation.
Blagovest-11L (Cosmos 2520),Russia,Ministry of Defense,Military/Commercial,Communications,GEO,35781,35803,1436,,8/16/17,2017-046A,42907,First military/commercial satellite totally designed and built by ISS Reshetnev.
BRAC ONNESHA (Bird BB),Bangladesh,Kyushu Institute of Technology (KIT),Civil,Communications,LEO,401,404,94.6,2,7/7/17,1998-067MX,42823,Five-country initiative for learning and capacity-building.
Brazilsat B-2 (Brasilsat B-2),Brazil,Embratel Star One,Military/Commercial,Communications,GEO,35776,35797,1436.11,1780,3/28/95,1995-016A,23536,24 C-band; several X-band. Used for telephone service in Brazilian interior.
Brazilsat B-3 (Brasilsat B-3),Brazil,Embratel Star One,Commercial,Communications,GEO,35769,35803,1436.07,1780,2/4/98,1998-006A,25152,28 C-band transponders for voice and video communication.
Brazilsat B-4 (Brasilsat B-4),Brazil,Embratel Star One,Commercial,Communications,GEO,35772,35800,1436.09,2495,8/17/00,2000-046A,26469,28 C-band; voice and video communications to all of South America.
BRISat,Indonesia,Bank Rakyat Indonesia (BRI),Commercial,Communications,GEO,35702,35876,1436.2,3540,6/19/16,2016-039A,41591,First satellite owned and operated by a bank. Will expand secure banking communications to almost 60 million customers across the Indonesia archipelago.
BRITE-CA-1 (BRITE Toronto),Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Space Science,LEO,613,739,98.27,10,6/19/14,2014-033L,40020,"Canadian contribution to the BRITE (Bright Target Explorer) mission, developedby a consoritum of Canadian, Austrian and Polish institutes. It will study the brightest stars in the Milky Way galaxy."
"BRITE-PL-1 (BRIght-star Target Explorer - Poland, Lem)",Multinational,BRITE Consortium,Government,Space Science,LEO,594,886,99.6,10,11/21/13,2013-066R,39431,"Polish contribution to the BRITE (Bright Target Explorer) mission, developed by a consortium of Canadian, Austrian and Polish institutes. It will study the brightest stars in the Milky Way galaxy. First constellation of nanosatellites."
"BRITE-PL-2 (BRIght-star Target Explorer - Poland, Hevelius)",Multinational,BRITE Consortium,Government,Space Science,LEO,610,633,97.1,10,8/19/14,2014-049B,40119,Second Polish contribute to the BRITE mission.
BSAT-3A,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,GEO,35778,35794,1436.1,1980,8/14/07,2007-036B,32019,Twelve 130W Ku-band transponders; HD TV.
